county,state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,release_date
Yuba,California,72348,72489,72774,73090,73533,74045,74952,76578,77557,78668,20200301
Adams,Colorado,443691,452201,460558,469978,479946,490443,497734,503590,511354,517421,20200301
Alamosa,Colorado,15515,15709,15680,15787,15803,15894,16053,16108,16248,16233,20200301
Arapahoe,Colorado,574747,585968,596500,608467,619034,630984,638950,644478,651797,656590,20200301
Archuleta,Colorado,12046,12021,12132,12216,12231,12387,12825,13295,13730,14029,20200301
Baca,Colorado,3807,3778,3722,3656,3587,3555,3530,3554,3584,3581,20200301
Bent,Colorado,6500,6424,5848,5761,5820,5889,5833,5827,5808,5577,20200301
Boulder,Colorado,295037,299957,304570,309323,312233,318027,321250,322441,324636,326196,20200301
Broomfield,Colorado,56226,57493,58971,60149,61764,64866,66513,68263,69324,70465,20200301
Chaffee,Colorado,17808,18028,18154,18355,18451,18612,19110,19666,20041,20356,20200301
Cheyenne,Colorado,1833,1863,1872,1879,1846,1827,1850,1853,1859,1831,20200301
Clear Creek,Colorado,9083,9011,9018,9024,9124,9244,9353,9574,9604,9700,20200301
Conejos,Colorado,8312,8290,8248,8199,8230,8065,8050,8139,8181,8205,20200301
Costilla,Colorado,3529,3641,3603,3541,3561,3576,3693,3756,3812,3887,20200301
Crowley,Colorado,5861,5882,5467,5346,5609,5628,5285,5840,5957,6061,20200301
Custer,Colorado,4279,4225,4219,4261,4340,4434,4588,4857,4934,5068,20200301
Delta,Colorado,30860,30393,30465,30338,29963,29913,30346,30519,30884,31162,20200301
Denver,Colorado,603359,620530,635163,649391,664582,683285,696159,704961,716265,727211,20200301
Dolores,Colorado,2069,2044,2009,2033,1977,1981,2056,2045,2060,2055,20200301
Douglas,Colorado,286977,292548,298708,306234,314545,322025,328219,335816,342989,351154,20200301
Eagle,Colorado,52099,52051,52334,52816,53276,53865,54541,54929,54943,55127,20200301
Elbert,Colorado,23142,23178,23274,23541,24031,24630,25157,25765,26303,26729,20200301
El Paso,Colorado,627031,637305,646003,655209,663129,674001,688277,700099,712089,720403,20200301
Fremont,Colorado,46837,47379,47052,46332,46147,46282,46976,47548,47959,47839,20200301
Garfield,Colorado,56072,56048,56761,56938,57161,57698,58785,59032,59701,60061,20200301
Gilpin,Colorado,5471,5428,5431,5530,5747,5805,5914,6018,6112,6243,20200301
Grand,Colorado,14796,14563,14221,14312,14559,14726,15179,15364,15511,15734,20200301
Gunnison,Colorado,15291,15261,15378,15575,15765,16104,16414,16863,17167,17462,20200301
Hinsdale,Colorado,844,825,802,804,773,764,788,791,808,820,20200301
Huerfano,Colorado,6681,6528,6565,6460,6393,6404,6580,6628,6887,6897,20200301
Jackson,Colorado,1389,1357,1325,1336,1385,1353,1358,1375,1395,1392,20200301
Jefferson,Colorado,535548,540506,546602,552031,558819,564888,571413,575417,579392,582881,20200301
Kiowa,Colorado,1404,1431,1409,1392,1380,1384,1342,1365,1379,1406,20200301
Kit Carson,Colorado,8263,8172,8072,8245,8018,8215,7626,7137,7159,7097,20200301
Lake,Colorado,7264,7343,7253,7263,7317,7442,7590,7750,7846,8127,20200301
La Plata,Colorado,51411,51866,52451,53368,53865,54687,55316,55563,56299,56221,20200301
Larimer,Colorado,300441,305246,310842,316225,324008,333303,338984,344084,350660,356899,20200301
Las Animas,Colorado,15422,15053,14992,14396,14048,14043,14073,14201,14508,14506,20200301
Lincoln,Colorado,5471,5419,5440,5435,5501,5543,5551,5523,5606,5701,20200301
Logan,Colorado,22750,22577,22356,22174,22440,22472,22435,22317,22268,22409,20200301
Mesa,Colorado,146259,147174,147317,147175,147113,148025,149736,151170,152951,154210,20200301
Mineral,Colorado,704,711,719,732,704,744,756,753,772,769,20200301
