county,state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,release_date
Bledsoe,Tennessee,12884,12992,12926,13910,14501,14601,14738,14895,14883,15064,20200301
Blount,Tennessee,123199,123664,124024,124874,125847,126954,128264,129999,131331,133088,20200301
Bradley,Tennessee,99083,99798,101049,101778,102771,103774,104390,105421,107050,108110,20200301
Campbell,Tennessee,40735,40688,40532,40247,39893,39772,39784,39791,39795,39842,20200301
Cannon,Tennessee,13797,13724,13789,13700,13572,13740,13876,14157,14440,14678,20200301
Carroll,Tennessee,28454,28547,28667,28606,28411,27982,27901,27807,27975,27767,20200301
Carter,Tennessee,57342,57385,57347,56978,56325,56375,56473,56510,56417,56391,20200301
Cheatham,Tennessee,39131,38986,39231,39340,39610,39593,39775,40366,40502,40667,20200301
Chester,Tennessee,17194,17150,17076,17116,17136,17123,17130,17154,17245,17297,20200301
Claiborne,Tennessee,32215,32106,31763,31627,31571,31555,31634,31661,31850,31959,20200301
Clay,Tennessee,7844,7741,7702,7688,7620,7663,7654,7663,7677,7615,20200301
Cocke,Tennessee,35640,35432,35530,35400,35266,35138,35234,35528,35858,36004,20200301
Coffee,Tennessee,52770,52920,53147,53298,53524,54093,54537,55016,55877,56520,20200301
Crockett,Tennessee,14588,14560,14610,14610,14652,14586,14448,14436,14296,14230,20200301
Cumberland,Tennessee,56193,56527,56990,57438,57924,58217,58580,59023,59738,60520,20200301
Davidson,Tennessee,627746,635918,649344,660179,669611,679793,685829,687159,690516,694144,20200301
Decatur,Tennessee,11717,11682,11634,11696,11685,11600,11735,11732,11699,11663,20200301
DeKalb,Tennessee,18695,18754,18869,19150,19227,19292,19444,19876,20133,20490,20200301
Dickson,Tennessee,49684,49982,50214,50164,50465,51334,51900,52774,53446,53948,20200301
Dyer,Tennessee,38318,38118,38188,38093,37807,37753,37542,37339,37286,37159,20200301
Fayette,Tennessee,38427,38570,38686,38812,39123,39280,39703,40150,40556,41133,20200301
Fentress,Tennessee,17923,17997,17916,17904,17849,17965,18040,18214,18322,18523,20200301
Franklin,Tennessee,40959,40857,40688,41213,41288,41343,41518,41623,41935,42208,20200301
Gibson,Tennessee,49731,49898,49666,49380,49436,49329,49250,49255,49171,49133,20200301
Giles,Tennessee,29406,29284,28969,28801,28819,28973,29165,29379,29446,29464,20200301
Grainger,Tennessee,22721,22753,22689,22739,22862,22848,23095,23106,23137,23320,20200301
Greene,Tennessee,68834,69173,68760,68336,68464,68586,68529,68821,69164,69069,20200301
Grundy,Tennessee,13725,13588,13583,13449,13340,13337,13276,13332,13348,13427,20200301
Hamblen,Tennessee,62510,62899,62764,63051,63010,63353,63681,64062,64629,64934,20200301
Hamilton,Tennessee,337214,341094,345693,349050,350729,353690,357778,361032,364293,367804,20200301
Hancock,Tennessee,6798,6708,6657,6621,6619,6577,6583,6593,6561,6620,20200301
Hardeman,Tennessee,27169,26869,26612,26360,25989,25817,25584,25488,25276,25050,20200301
Hardin,Tennessee,26050,25869,25962,25925,25801,25754,25740,25738,25693,25652,20200301
Hawkins,Tennessee,56870,56621,56560,56696,56481,56370,56565,56620,56713,56786,20200301
Haywood,Tennessee,18812,18546,18276,18234,18235,18036,17822,17607,17347,17304,20200301
Henderson,Tennessee,27788,28039,28082,28042,28093,28078,27855,27851,27983,28117,20200301
Henry,Tennessee,32398,32440,32377,32250,32245,32127,32232,32380,32336,32345,20200301
Hickman,Tennessee,24647,24364,24192,24207,24465,24373,24666,24839,25007,25178,20200301
Houston,Tennessee,8451,8347,8424,8276,8221,8124,8101,8158,8234,8201,20200301
Humphreys,Tennessee,18558,18403,18287,18244,18147,18157,18383,18503,18551,18582,20200301
Jackson,Tennessee,11625,11558,11595,11561,11524,11534,11611,11702,11777,11786,20200301
Jefferson,Tennessee,51714,51908,52300,52134,52408,53011,53148,53730,54012,54495,20200301
Johnson,Tennessee,18286,18223,18159,18014,17935,17842,17759,17603,17774,17788,20200301
Knox,Tennessee,432938,436776,440791,444314,447903,451297,456089,461565,466258,470313,20200301
Lake,Tennessee,7827,7793,7715,7713,7680,7602,7531,7451,7407,7016,20200301
Lauderdale,Tennessee,27721,27701,27694,27573,27357,26903,25320,26093,25997,25633,20200301
Lawrence,Tennessee,41967,42162,42154,42028,42304,42592,43056,43388,43771,44142,20200301
Lewis,Tennessee,12173,12146,11942,11994,11886,11875,11891,12025,12074,12268,20200301
Lincoln,Tennessee,33382,33387,33379,33499,33443,33609,33564,33892,34189,34366,20200301
Loudon,Tennessee,48710,49188,49823,50386,50586,50916,51373,52260,53082,54068,20200301
McMinn,Tennessee,52176,52335,52441,52431,52675,52502,52700,52931,53336,53794,20200301
McNairy,Tennessee,26066,26077,26142,26035,26032,25864,25832,26001,25830,25694,20200301
Macon,Tennessee,22237,22455,22488,22637,22919,23076,23340,23905,24289,24602,20200301
Madison,Tennessee,98249,98084,98505,98730,98134,97569,97478,97491,97603,97984,20200301
Marion,Tennessee,28220,28099,28226,28326,28405,28397,28383,28406,28598,28907,20200301
Marshall,Tennessee,30687,30848,30971,31140,31287,31590,32035,33020,33806,34375,20200301
Maury,Tennessee,81172,81528,82054,83618,85384,87425,89556,92237,94273,96387,20200301
Meigs,Tennessee,11792,11687,11668,11659,11703,11804,11953,12042,12297,12422,20200301
Monroe,Tennessee,44610,44903,45095,45228,45391,45625,45848,46035,46269,46545,20200301
Montgomery,Tennessee,173159,176504,184782,184252,189005,192398,194424,199771,205312,208993,20200301
Moore,Tennessee,6330,6367,6289,6274,6285,6261,6293,6391,6457,6488,20200301
Morgan,Tennessee,22019,21998,21892,21673,21699,21494,21741,21555,21534,21403,20200301
Obion,Tennessee,31822,31675,31310,31017,30828,30561,30547,30375,30274,30069,20200301
Overton,Tennessee,22092,22165,22164,21969,21951,22067,21964,21998,22068,22241,20200301
Perry,Tennessee,7940,7865,7852,7880,7819,7852,7880,7954,8050,8076,20200301
Pickett,Tennessee,5082,5124,5048,5013,5078,5139,5091,5062,5053,5048,20200301
Polk,Tennessee,16813,16771,16624,16632,16684,16769,16794,16759,16918,16832,20200301
Putnam,Tennessee,72549,73065,73529,74095,74930,75074,75985,77299,78631,80245,20200301
Rhea,Tennessee,31858,32082,32367,32529,32623,32373,32474,32671,32911,33167,20200301
Roane,Tennessee,54169,53988,53615,53161,52852,52770,52944,53020,53258,53382,20200301
Robertson,Tennessee,66322,66775,66798,67412,68046,68687,69393,70328,71179,71813,20200301
Rutherford,Tennessee,263708,269160,274397,281148,288848,298197,307415,316531,324647,332285,20200301
Scott,Tennessee,22227,22105,22175,22062,21990,21893,21890,21964,22028,22068,20200301
Sequatchie,Tennessee,14128,14274,14350,14537,14634,14641,14754,14767,14891,15026,20200301
Sevier,Tennessee,89923,91192,92362,93477,94660,95417,96470,97307,97895,98250,20200301
Shelby,Tennessee,928447,933186,939168,938363,937500,937067,936021,935251,936365,937166,20200301
Smith,Tennessee,19126,19210,19179,19117,19097,19308,19526,19732,19979,20157,20200301
Stewart,Tennessee,13348,13223,13309,13277,13210,13187,13190,13422,13619,13715,20200301
Sullivan,Tennessee,156749,156876,156322,156185,156404,156199,156182,156924,157599,158348,20200301
Sumner,Tennessee,161214,163680,165967,168754,172269,175326,179332,183756,187490,191283,20200301
Tipton,Tennessee,61065,61305,61524,61572,61596,61533,61223,61305,61576,61599,20200301
Trousdale,Tennessee,7874,7815,7794,7810,7998,8051,9955,10831,11033,11284,20200301
Unicoi,Tennessee,18284,18302,18253,18095,17951,17819,17737,17796,17822,17883,20200301
Union,Tennessee,19116,19191,19105,19063,18991,19159,19219,19399,19689,19972,20200301
Van Buren,Tennessee,5569,5555,5653,5574,5696,5695,5721,5747,5763,5872,20200301
Warren,Tennessee,39858,39907,39744,39875,39983,40262,40428,40717,40826,41277,20200301
Washington,Tennessee,123384,123887,124873,125397,125745,126137,127247,127603,128661,129375,20200301
Wayne,Tennessee,16985,17000,16973,16920,16860,16767,16747,16641,16635,16673,20200301
Weakley,Tennessee,35044,34857,34554,34155,34001,33872,33610,33325,33413,33328,20200301
White,Tennessee,25828,26050,26031,26193,26264,26342,26463,26764,27086,27345,20200301
Williamson,Tennessee,184143,188501,193211,199143,205334,211605,218903,226048,231978,238412,20200301
Wilson,Tennessee,114677,116800,119143,121990,125197,128536,132494,136691,140954,144657,20200301
Anderson,Texas,58493,58394,58059,57960,57829,57639,57526,58175,57974,57735,20200301
Andrews,Texas,14849,15386,16105,16779,17435,18072,17791,17603,18011,18705,20200301
Angelina,Texas,86905,87297,87509,87312,87567,87829,87682,87572,86810,86715,20200301
Aransas,Texas,23181,23216,23459,23889,24566,24800,25162,25392,23446,23510,20200301
Archer,Texas,9118,8840,8816,8801,8844,8763,8781,8783,8700,8553,20200301
Armstrong,Texas,1902,1936,1953,1940,1913,1901,1843,1867,1879,1887,20200301
Atascosa,Texas,44965,45504,46438,47021,47715,48363,48720,49083,50322,51153,20200301
Austin,Texas,28363,28604,28562,28679,28968,29471,29629,29722,29965,30032,20200301
Bailey,Texas,7154,7175,7139,7124,6966,7223,7196,7066,7015,7000,20200301
Bandera,Texas,20559,20541,20591,20557,20813,21144,21701,22327,22792,23112,20200301
Bastrop,Texas,74371,75055,74749,75814,77737,80115,82591,84585,86595,88723,20200301
Baylor,Texas,3708,3695,3590,3577,3566,3609,3638,3555,3573,3509,20200301
Bee,Texas,31864,32318,32480,32810,32841,32617,32812,32592,32467,32565,20200301
Bell,Texas,312849,315799,324963,327028,330149,336076,341094,347377,355397,362924,20200301
Bexar,Texas,1722838,1755361,1788738,1821328,1858003,1894834,1927651,1956988,1981187,2003554,20200301
Blanco,Texas,10498,10567,10616,10636,10805,11029,11301,11481,11648,11931,20200301
Borden,Texas,646,632,613,646,665,655,657,670,647,654,20200301
Bosque,Texas,18269,18259,18126,17863,17716,17864,18009,18295,18629,18685,20200301
Bowie,Texas,92638,92808,93030,93374,93268,93050,93424,93458,93688,93245,20200301
Brazoria,Texas,314428,319147,324224,329890,337570,345227,353155,361853,368887,374264,20200301
Brazos,Texas,195666,197450,200260,204116,208975,216258,219739,223917,225781,229211,20200301
Brewster,Texas,9258,9349,9259,9287,9150,9143,9211,9325,9272,9203,20200301
Briscoe,Texas,1633,1659,1576,1562,1552,1514,1483,1514,1512,1546,20200301
Brooks,Texas,7208,7216,7196,7259,7228,7190,7190,7132,7099,7093,20200301
Brown,Texas,38076,38000,37808,37671,37553,37736,38039,37815,37820,37864,20200301
Burleson,Texas,17237,17328,17433,17269,17387,17611,17848,18053,18335,18443,20200301
Burnet,Texas,42762,43216,43377,43580,43954,44734,45817,46600,47344,48155,20200301
Caldwell,Texas,38127,38470,38682,39201,39703,40419,41147,42328,43161,43664,20200301
Calhoun,Texas,21313,21359,21575,21729,21812,21887,21948,21712,21504,21290,20200301
Callahan,Texas,13512,13511,13488,13502,13505,13589,13789,13968,13990,13943,20200301
Cameron,Texas,407630,413201,415877,417357,419005,419450,421350,422227,422139,423163,20200301
Camp,Texas,12398,12422,12487,12462,12657,12699,12771,12845,12983,13094,20200301
Carson,Texas,6162,6238,6089,5988,6036,6013,6096,6005,6007,5926,20200301
Cass,Texas,30457,30281,30031,30237,30123,30140,30058,29966,30106,30026,20200301
Castro,Texas,8126,8094,8262,8120,7927,7787,7765,7696,7588,7530,20200301
Chambers,Texas,35456,35699,36508,37367,38296,39028,40163,41269,42227,43837,20200301
Cherokee,Texas,50941,51090,51277,51093,51189,51568,51879,52116,52381,52646,20200301
Childress,Texas,7070,7027,7100,7055,7196,7169,7204,7269,7315,7306,20200301
Clay,Texas,10737,10668,10523,10455,10377,10359,10251,10484,10448,10471,20200301
Cochran,Texas,3147,3082,3028,3009,2945,2977,2921,2853,2831,2853,20200301
Coke,Texas,3319,3266,3202,3180,3217,3227,3259,3285,3355,3387,20200301
Coleman,Texas,8870,8743,8667,8526,8416,8316,8412,8399,8367,8175,20200301
Collin,Texas,787614,812540,835230,856398,884688,915243,943742,971864,1004307,1034730,20200301
Collingsworth,Texas,3054,3085,3024,3100,3016,3010,3007,2964,2942,2920,20200301
Colorado,Texas,20872,20806,20724,20717,20696,20951,21081,21291,21305,21493,20200301
Comal,Texas,109306,112113,114873,118627,123214,128795,134343,140721,148141,156209,20200301
Comanche,Texas,13953,13867,13723,13554,13472,13395,13543,13533,13540,13635,20200301
Concho,Texas,4102,4124,4085,4122,4089,4072,4140,2707,2683,2726,20200301
Cooke,Texas,38472,38443,38717,38456,38764,39170,39343,39932,40504,41257,20200301
Coryell,Texas,75651,76625,78458,76761,76166,76145,74803,74760,74741,75951,20200301
Cottle,Texas,1512,1507,1485,1442,1429,1439,1402,1375,1382,1398,20200301
Crane,Texas,4382,4358,4525,4718,4897,4995,4779,4685,4755,4797,20200301
Crockett,Texas,3701,3652,3705,3763,3790,3735,3642,3535,3439,3464,20200301
Crosby,Texas,6026,6044,6036,5924,5825,5918,5911,5849,5764,5737,20200301
Culberson,Texas,2403,2393,2316,2306,2282,2254,2220,2230,2194,2171,20200301
Dallam,Texas,6747,6888,7059,7110,7214,7301,7357,7272,7303,7287,20200301
Dallas,Texas,2372993,2408697,2455930,2484486,2519410,2557830,2591488,2620154,2629350,2635516,20200301
Dawson,Texas,13826,13747,13611,13219,13445,12987,12999,12744,12605,12728,20200301
Deaf Smith,Texas,19467,19522,19373,19180,19123,18825,18846,18753,18711,18546,20200301
Delta,Texas,5242,5147,5242,5120,5142,5159,5147,5276,5332,5331,20200301
Denton,Texas,666760,685740,707892,728624,753188,779584,808212,835364,858741,887207,20200301
DeWitt,Texas,20054,20205,20358,20377,20518,20632,20623,20180,20106,20160,20200301
Dickens,Texas,2447,2401,2322,2297,2215,2204,2193,2190,2218,2211,20200301
Dimmit,Texas,10043,10109,10471,10894,10987,10910,10679,10282,10195,10124,20200301
Donley,Texas,3734,3686,3645,3561,3483,3391,3387,3340,3315,3278,20200301
Duval,Texas,11724,11796,11582,11581,11509,11336,11431,11270,11147,11157,20200301
Eastland,Texas,18594,18582,18459,18279,18257,18152,18240,18294,18319,18360,20200301
Ector,Texas,137075,139642,144495,149656,154588,159903,157858,156951,161960,166223,20200301
Edwards,Texas,1999,1979,1990,1899,1904,1910,1908,1929,1908,1932,20200301
Ellis,Texas,150367,152373,153739,155928,159204,163292,168332,173405,179006,184826,20200301
El Paso,Texas,803576,819896,832310,830864,833783,831898,834949,837401,836825,839238,20200301
Erath,Texas,37912,38922,39405,39886,40514,41191,41372,41723,42223,42698,20200301
Falls,Texas,17891,17848,17570,17242,17210,17216,17276,17340,17231,17297,20200301
Fannin,Texas,33920,33878,33601,33510,33593,33502,33933,34550,35185,35514,20200301
Fayette,Texas,24556,24749,24661,24721,24782,24945,25018,25119,25278,25346,20200301
Fisher,Texas,3959,3947,3838,3859,3874,3877,3877,3874,3821,3830,20200301
Floyd,Texas,6403,6368,6348,6245,5947,5843,5847,5830,5783,5712,20200301
Foard,Texas,1344,1361,1310,1286,1275,1225,1200,1202,1191,1155,20200301
Fort Bend,Texas,590253,606064,624824,651847,684048,715331,744160,767712,788081,811688,20200301
Franklin,Texas,10607,10562,10637,10615,10563,10603,10677,10798,10778,10725,20200301
Freestone,Texas,19803,19602,19484,19597,19677,19746,19669,19649,19789,19717,20200301
Frio,Texas,17256,17492,17931,18400,18938,19361,19584,19895,20211,20306,20200301
Gaines,Texas,17588,17908,18307,18807,19335,20217,20446,20553,20820,21492,20200301
Galveston,Texas,292484,295605,301049,306589,313367,320974,328820,334633,337858,342139,20200301
Garza,Texas,6467,6560,6418,6371,6417,6391,6212,6490,6243,6229,20200301
Gillespie,Texas,24874,25039,25175,25363,25473,25916,26206,26483,26702,26988,20200301
Glasscock,Texas,1232,1238,1280,1271,1328,1380,1365,1363,1391,1409,20200301
Goliad,Texas,7219,7208,7331,7452,7506,7513,7512,7552,7588,7658,20200301
Gonzales,Texas,19797,19755,19930,20143,20347,20510,20787,20742,20781,20837,20200301
Gray,Texas,22470,22661,22920,22996,23432,23265,22741,22106,22051,21886,20200301
Grayson,Texas,121034,121430,121854,122362,123599,125628,128291,131152,133787,136212,20200301
Gregg,Texas,121984,122656,123089,123233,123146,123800,123367,122852,123251,123945,20200301
Grimes,Texas,26616,26655,26679,26792,26997,27299,27494,27955,28291,28880,20200301
Guadalupe,Texas,132587,135809,139641,142881,146811,150578,154492,159639,163276,166847,20200301
Hale,Texas,36269,36381,36258,35676,34451,34034,34107,33954,33631,33406,20200301
Hall,Texas,3359,3312,3268,3164,3075,3094,3113,3042,3025,2964,20200301
Hamilton,Texas,8465,8389,8249,8241,8160,8080,8237,8407,8477,8461,20200301
Hansford,Texas,5599,5580,5534,5547,5561,5654,5592,5485,5470,5399,20200301
Hardeman,Texas,4159,4159,4097,4065,3990,3920,3982,3959,3929,3933,20200301
Hardin,Texas,54784,55070,55122,55305,55510,55758,56242,57117,57107,57602,20200301
Harris,Texas,4107666,4179568,4263094,4353187,4455994,4557846,4623960,4657972,4680045,4713325,20200301
Harrison,Texas,65765,66338,66256,66267,66581,66685,66611,66468,66584,66553,20200301
Hartley,Texas,6064,6031,6090,5999,6055,5702,5740,5716,5611,5576,20200301
Haskell,Texas,5879,5959,5885,5901,5811,5821,5751,5699,5699,5658,20200301
Hays,Texas,158214,163270,168519,176035,184854,194662,204546,214726,222706,230191,20200301
Hemphill,Texas,3795,3956,4093,4153,4165,4277,4101,3929,3845,3819,20200301
Henderson,Texas,78665,78837,78992,78669,79324,79492,80062,80954,82103,82737,20200301
Hidalgo,Texas,779149,795517,808334,818619,829819,839667,848960,856249,862298,868707,20200301
Hill,Texas,35144,35200,35157,34851,34767,34828,35102,35703,36165,36649,20200301
Hockley,Texas,22853,22931,23074,23408,23463,23310,23043,22977,22971,23021,20200301
Hood,Texas,51268,51563,52129,52860,53812,55227,56569,57973,60177,61643,20200301
Hopkins,Texas,35208,35259,35312,35299,35686,35973,36184,36451,36738,37084,20200301
Houston,Texas,23682,23434,23213,22809,22809,22747,22897,23089,23068,22968,20200301
Howard,Texas,34993,34990,35495,36185,36542,37123,36214,35817,35925,36664,20200301
Hudspeth,Texas,3472,3412,3357,3339,3306,3541,4254,4604,4788,4886,20200301
Hunt,Texas,86365,86687,86979,87429,88639,89670,91895,94046,96606,98594,20200301
Hutchinson,Texas,22214,22024,22022,21921,21915,21793,21528,21343,21119,20938,20200301
Irion,Texas,1607,1592,1573,1610,1574,1543,1562,1512,1516,1536,20200301
Jack,Texas,9004,9030,8992,8951,8880,8883,8789,8828,8825,8935,20200301
Jackson,Texas,14091,14048,14271,14610,14723,14808,14873,14806,14834,14760,20200301
Jasper,Texas,35777,36204,35854,35617,35424,35266,35417,35549,35769,35529,20200301
Jeff Davis,Texas,2344,2282,2296,2231,2217,2199,2231,2260,2243,2274,20200301
Jefferson,Texas,252455,253494,251605,253079,252897,255112,255748,256041,253234,251565,20200301
Jim Hogg,Texas,5287,5289,5277,5263,5328,5296,5257,5212,5192,5200,20200301
Jim Wells,Texas,40894,41224,41651,41681,41504,41523,41181,40920,40756,40482,20200301
Johnson,Texas,151264,152094,153415,154535,156733,159345,162763,167012,171121,175817,20200301
Jones,Texas,20238,20270,19870,20044,19850,19966,19971,19827,19866,20083,20200301
Karnes,Texas,14889,14959,14859,14727,14910,15413,15494,15556,15660,15601,20200301
Kaufman,Texas,103872,105199,106553,108248,110872,114055,117904,122628,128279,136154,20200301
Kendall,Texas,33589,34421,35551,37133,38363,39938,41903,43969,45603,47431,20200301
Kenedy,Texas,417,438,447,438,437,441,436,427,437,404,20200301
Kent,Texas,812,813,825,782,748,747,748,759,726,762,20200301
Kerr,Texas,49643,49641,49719,49787,50343,50880,51426,51892,52415,52600,20200301
Kimble,Texas,4601,4594,4525,4461,4464,4391,4413,4385,4338,4337,20200301
King,Texas,288,258,270,273,263,282,292,289,276,272,20200301
Kinney,Texas,3590,3607,3639,3632,3554,3589,3636,3711,3692,3667,20200301
Kleberg,Texas,32037,32029,32097,32021,31891,31413,31304,30752,30722,30680,20200301
Knox,Texas,3723,3722,3730,3722,3801,3792,3732,3674,3662,3664,20200301
Lamar,Texas,49820,49861,49656,49092,49411,49373,49528,49568,49729,49859,20200301
Lamb,Texas,13993,14059,13863,13663,13484,13259,13195,13165,13103,12893,20200301
Lampasas,Texas,19762,19924,20054,20142,20106,20362,20524,20861,21134,21428,20200301
La Salle,Texas,6913,7002,7157,7444,7481,7637,7596,7530,7493,7520,20200301
Lavaca,Texas,19256,19311,19528,19631,19779,19919,19891,20028,20114,20154,20200301
Lee,Texas,16591,16556,16505,16545,16621,16868,16975,17109,17097,17239,20200301
Leon,Texas,16723,16829,16741,16620,16730,17028,17200,17235,17260,17404,20200301
Liberty,Texas,75859,75990,76370,76849,78045,79537,81354,83597,85802,88219,20200301
Limestone,Texas,23492,23591,23686,23440,23529,23442,23472,23391,23343,23437,20200301
Lipscomb,Texas,3283,3334,3447,3490,3553,3559,3494,3364,3342,3233,20200301
Live Oak,Texas,11556,11507,11655,11817,12057,12173,12023,12146,12148,12207,20200301
Llano,Texas,19336,19073,19266,19509,19666,20081,20592,21167,21600,21795,20200301
Loving,Texas,84,95,86,106,89,119,117,133,148,169,20200301
Lubbock,Texas,280301,283408,285961,289515,294433,298337,302094,305413,307627,310569,20200301
Lynn,Texas,5914,5886,5796,5728,5798,5746,5775,5832,5848,5951,20200301
McCulloch,Texas,8231,8254,8241,8243,8152,8255,8124,7941,7982,7984,20200301
McLennan,Texas,235917,237852,239368,241443,243166,245444,247553,251631,254196,256623,20200301
McMullen,Texas,711,697,730,760,799,828,806,765,731,743,20200301
Madison,Texas,13739,13753,13746,13820,13871,13968,14120,14251,14363,14284,20200301
Marion,Texas,10485,10475,10374,10277,10149,10136,10125,10057,9915,9854,20200301
Martin,Texas,4809,4884,4980,5272,5462,5646,5616,5531,5681,5771,20200301
Mason,Texas,4010,4033,4056,4120,4095,4057,4161,4179,4259,4274,20200301
Matagorda,Texas,36709,36681,36544,36500,36478,36766,37088,36805,36566,36643,20200301
Maverick,Texas,54432,55260,55765,56532,57115,57720,58041,58111,58276,58722,20200301
Medina,Texas,46114,46507,46796,47238,47830,48402,49254,50183,50862,51584,20200301
Menard,Texas,2230,2214,2204,2137,2128,2134,2091,2110,2120,2138,20200301
Midland,Texas,136974,140224,147332,152356,156725,162328,163850,165318,172505,176832,20200301
Milam,Texas,24681,24607,24114,24090,24143,24362,24680,24939,25045,24823,20200301
Mills,Texas,4968,4883,4832,4872,4872,4889,4884,4917,4883,4873,20200301
Mitchell,Texas,9412,9396,9329,8999,9070,8856,8474,8215,8525,8545,20200301
Montague,Texas,19718,19759,19477,19387,19365,19252,19390,19399,19584,19818,20200301
Montgomery,Texas,459208,471415,484565,498392,517146,535753,555216,571615,589770,607391,20200301
Moore,Texas,22005,22070,22430,22146,21986,21725,21641,21604,21083,20940,20200301
Morris,Texas,12919,12770,12703,12680,12606,12370,12429,12375,12303,12388,20200301
Motley,Texas,1205,1200,1197,1192,1149,1146,1170,1226,1232,1200,20200301
Nacogdoches,Texas,64685,65655,65866,65193,65240,65462,65549,65317,65161,65204,20200301
Navarro,Texas,47869,48074,48163,48036,47913,48181,48405,48739,49536,50113,20200301
Newton,Texas,14448,14563,14434,14341,14292,14158,14160,13908,13751,13595,20200301
Nolan,Texas,15244,15143,14932,15068,15126,15111,15044,14854,14799,14714,20200301
Nueces,Texas,340245,343263,347939,352946,356657,360504,361642,361235,362026,362294,20200301
Ochiltree,Texas,10171,10444,10612,10704,10715,10698,10257,9996,9866,9836,20200301
Oldham,Texas,2050,2072,2046,2088,2069,2064,2074,2104,2118,2112,20200301
Orange,Texas,82012,82341,82887,82811,83244,83955,84549,84971,83474,83396,20200301
Palo Pinto,Texas,28095,28062,27867,27886,28041,27966,28125,28544,28874,29189,20200301
Panola,Texas,23772,24007,24001,23790,23750,23667,23419,23211,23142,23194,20200301
Parker,Texas,117316,118320,119482,119785,122147,125640,128967,133501,138070,142878,20200301
Parmer,Texas,10265,10276,10184,9986,9952,9794,9762,9710,9719,9605,20200301
Pecos,Texas,15523,15643,15568,15660,15828,16030,15881,15634,15709,15823,20200301
Polk,Texas,45446,45580,45510,45522,45813,46613,47656,48990,49955,51353,20200301
Potter,Texas,121371,122305,122739,122127,122061,121272,120632,120340,118711,117415,20200301
Presidio,Texas,7875,7754,7619,7386,7194,7057,7156,7100,6856,6704,20200301
Rains,Texas,10913,11003,10939,11033,11013,11136,11304,11730,12147,12514,20200301
Randall,Texas,121179,123424,124975,126753,128733,130368,132342,134015,135691,137713,20200301
Reagan,Texas,3353,3393,3477,3633,3785,3807,3726,3712,3736,3849,20200301
Real,Texas,3322,3431,3352,3318,3347,3297,3399,3417,3477,3452,20200301
Red River,Texas,12874,12682,12723,12487,12445,12345,12179,12164,12143,12023,20200301
Reeves,Texas,13834,14098,14265,14494,15124,15574,15229,15166,15513,15976,20200301
Refugio,Texas,7375,7321,7256,7279,7362,7326,7272,7180,7000,6948,20200301
Roberts,Texas,924,926,942,919,914,910,910,941,898,854,20200301
Robertson,Texas,16555,16657,16455,16431,16468,16698,16804,17153,17219,17074,20200301
Rockwall,Texas,78919,81045,82710,84670,87064,90170,93421,96824,100546,104915,20200301
Runnels,Texas,10508,10500,10335,10196,10294,10387,10276,10282,10178,10264,20200301
Rusk,Texas,53361,53702,53793,53332,53212,52965,52892,54213,54301,54406,20200301
Sabine,Texas,10871,10727,10524,10424,10428,10440,10381,10417,10576,10542,20200301
San Augustine,Texas,8854,8799,8789,8663,8481,8349,8288,8302,8254,8237,20200301
San Jacinto,Texas,26474,26780,26942,26731,27049,27361,27732,28231,28717,28859,20200301
San Patricio,Texas,64431,64458,65260,66134,66656,67117,67311,67210,66671,66730,20200301
San Saba,Texas,6134,6047,5990,5960,5858,5922,5922,5996,6060,6055,20200301
Schleicher,Texas,3503,3310,3259,3191,3164,3195,3057,2989,2880,2793,20200301
Scurry,Texas,16928,16868,17125,17272,17377,17570,17394,17003,16812,16703,20200301
Shackelford,Texas,3383,3334,3361,3375,3316,3333,3337,3289,3256,3265,20200301
Shelby,Texas,25458,25733,26062,25977,25607,25373,25566,25225,25307,25274,20200301
Sherman,Texas,3025,3014,3039,3070,3065,3058,3070,3046,3101,3022,20200301
Smith,Texas,210408,212764,214811,216475,219642,222390,225161,227195,229749,232751,20200301
Somervell,Texas,8500,8426,8554,8566,8559,8618,8671,8855,9030,9128,20200301
Starr,Texas,61134,61642,61970,62381,62965,63484,63894,64130,64249,64633,20200301
Stephens,Texas,9620,9536,9614,9371,9342,9385,9377,9287,9405,9366,20200301
Sterling,Texas,1137,1170,1191,1229,1340,1333,1339,1287,1304,1291,20200301
Stonewall,Texas,1496,1463,1452,1418,1388,1398,1401,1376,1352,1350,20200301
Sutton,Texas,4062,3987,3916,3982,3969,3915,3886,3792,3752,3776,20200301
Swisher,Texas,7918,7804,7845,7720,7554,7477,7428,7446,7413,7397,20200301
Tarrant,Texas,1817480,1847882,1882205,1912767,1946122,1984880,2023556,2056451,2081446,2102515,20200301
Taylor,Texas,131835,132853,134084,133927,134987,136133,136257,136634,137294,138034,20200301
Terrell,Texas,1011,950,921,891,910,867,818,814,810,776,20200301
Terry,Texas,12682,12661,12632,12713,12795,12759,12770,12429,12344,12337,20200301
Throckmorton,Texas,1639,1637,1610,1606,1613,1559,1537,1510,1504,1501,20200301
Titus,Texas,32419,32452,32612,32587,32502,32626,32463,32619,32743,32750,20200301
Tom Green,Texas,110678,111751,113307,114680,116319,117514,117634,117566,118014,119200,20200301
Travis,Texas,1030503,1061709,1096886,1122248,1152260,1179805,1206110,1227585,1246572,1273954,20200301
Trinity,Texas,14729,14686,14372,14445,14298,14539,14543,14677,14688,14651,20200301
Tyler,Texas,21764,21674,21504,21508,21468,21370,21423,21517,21609,21672,20200301
